review,rating,date,bank,source
excellent,5,2025-08-26,Dashen Bank,Google Play Store
shimalis,4,2025-08-25,Dashen Bank,Google Play Store
አሪፍ ነው ግን ደረሰኙ የተቀባይ አካውንት እና ስም አያሳይም ።,3,2025-08-24,Dashen Bank,Google Play Store
excellent mobile banking digital,5,2025-08-24,Dashen Bank,Google Play Store
"Excellent, and it's truly a super app!",5,2025-08-24,Dashen Bank,Google Play Store
nice app,4,2025-08-23,Dashen Bank,Google Play Store
very nice app,5,2025-08-23,Dashen Bank,Google Play Store
can't access as will if it's super and can't even access the service when you need it's a big failure,1,2025-08-22,Dashen Bank,Google Play Store
seche,1,2025-08-22,Dashen Bank,Google Play Store
very fast bank,5,2025-08-22,Dashen Bank,Google Play Store
good and well,5,2025-08-22,Dashen Bank,Google Play Store
what a bank it is,5,2025-08-22,Dashen Bank,Google Play Store
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,2,2025-08-21,Dashen Bank,Google Play Store
great app,5,2025-08-20,Dashen Bank,Google Play Store
nic,5,2025-08-20,Dashen Bank,Google Play Store
easy to use and the best one,5,2025-08-17,Dashen Bank,Google Play Store
it is totally work of failure. I personally prefer dashen amole instead of this super dull app.,1,2025-08-16,Dashen Bank,Google Play Store
very good app,5,2025-08-16,Dashen Bank,Google Play Store
The worst banking app in Ethiopia. It forces you to change your PIN every three months.,1,2025-08-16,Dashen Bank,Google Play Store
አሪፍ,5,2025-08-15,Dashen Bank,Google Play Store
best but USSD is necessary,5,2025-08-15,Dashen Bank,Google Play Store
"one step forward, Ethiopian bank and e commerce industry",5,2025-08-15,Dashen Bank,Google Play Store
still it's essay for user,4,2025-08-15,Dashen Bank,Google Play Store
"Great app, unfortunately I struggle to use it from outside Ethiopia. It tells me ""VPN enabled please disable VPN to continue using the app"". And that's happening without any VPN enabled. I think I will need to switch back to CBE because I need access to my bank account globally.",1,2025-08-15,Dashen Bank,Google Play Store
"It was easy enough before. but now it won't even open , why? pls help if possible. The email address you provided under the App support also can't be found by Gmail. pls respond.",3,2025-08-14,Dashen Bank,Google Play Store
good,5,2025-08-14,Dashen Bank,Google Play Store
"There are plenty of features missed e. g electricity bill, water bill payments",2,2025-08-14,Dashen Bank,Google Play Store
የሶፍትዌሩ ለአጠቃቀም ምቹና ቀላል መሆኑ ተመራጭ ያደርገዋል,5,2025-08-14,Dashen Bank,Google Play Store
በጣም ችግር አለበት,1,2025-08-14,Dashen Bank,Google Play Store
best,5,2025-08-14,Dashen Bank,Google Play Store
great 👍 app,5,2025-08-13,Dashen Bank,Google Play Store
"its a very low quality and slow application, very unreliable in times of need",1,2025-08-13,Dashen Bank,Google Play Store
ok,5,2025-08-13,Dashen Bank,Google Play Store
ok,5,2025-08-13,Dashen Bank,Google Play Store
very poor and time taking to use,1,2025-08-13,Dashen Bank,Google Play Store
it is the best app ever i have seen Dashen bank always one step a head!!!!,5,2025-08-13,Dashen Bank,Google Play Store
the new version is so good I like it,5,2025-08-13,Dashen Bank,Google Play Store
excellent,5,2025-08-13,Dashen Bank,Google Play Store
good,3,2025-08-13,Dashen Bank,Google Play Store
Good,3,2025-08-12,Dashen Bank,Google Play Store
good job my dashen super app,5,2025-08-12,Dashen Bank,Google Play Store
Some connection issues,3,2025-08-12,Dashen Bank,Google Play Store
verry slow app 🤢,1,2025-08-12,Dashen Bank,Google Play Store
best bauget app,5,2025-08-12,Dashen Bank,Google Play Store
its good but he said uptede me 😠🤕,2,2025-08-12,Dashen Bank,Google Play Store
network issue,1,2025-08-12,Dashen Bank,Google Play Store
እንጠቀምበት,5,2025-08-12,Dashen Bank,Google Play Store
nice,5,2025-08-12,Dashen Bank,Google Play Store
fast and easy to use great App.,5,2025-08-12,Dashen Bank,Google Play Store
Best Performing and Fast Financial app,5,2025-08-12,Dashen Bank,Google Play Store
good,5,2025-08-12,Dashen Bank,Google Play Store
well done keep it up,5,2025-08-12,Dashen Bank,Google Play Store
good but it takes forever to load,3,2025-08-12,Dashen Bank,Google Play Store
"It's very good, but there are some things that need to be improved by (speed & receipt view) to be competitive with the companies in the country, i.e.cbe&telebirr.",4,2025-08-12,Dashen Bank,Google Play Store
my favorite 💗💗💗,5,2025-08-11,Dashen Bank,Google Play Store
Good app,5,2025-08-11,Dashen Bank,Google Play Store
Good,5,2025-08-11,Dashen Bank,Google Play Store
"This is boring Mobile banking app, it is not work properly .so slow!",1,2025-08-11,Dashen Bank,Google Play Store
"improve the app, please. it is not working. It says response timeout",1,2025-08-10,Dashen Bank,Google Play Store
modern perfect app interface with the best banking tools 👏,5,2025-08-09,Dashen Bank,Google Play Store
when i tried to open the app it re-downloading something big 3GB 4GB size and after 3 hours late it will open. it's my experience Very worst app it isn't lite app not works in every situation of networks.,1,2025-08-08,Dashen Bank,Google Play Store
"poor, glitch stack",1,2025-08-07,Dashen Bank,Google Play Store
slowest banking app ever used,3,2025-08-07,Dashen Bank,Google Play Store
Good,1,2025-08-06,Dashen Bank,Google Play Store
Good 👍,5,2025-08-05,Dashen Bank,Google Play Store
Dashen Bank super app is the best app,5,2025-08-05,Dashen Bank,Google Play Store
best,5,2025-08-02,Dashen Bank,Google Play Store
would most likely rate it even less but it does have it's perks. But for the most part the whole app is filled with bugs and it stops being responsive almost everytime. Besides some new features and the new UI design I most definitely prefer the old amole Version. either fix this mess or bring back Amole,2,2025-08-01,Dashen Bank,Google Play Store
sometimes is not working to be honest,1,2025-08-01,Dashen Bank,Google Play Store
ok,4,2025-08-01,Dashen Bank,Google Play Store
very good app,5,2025-07-30,Dashen Bank,Google Play Store
Why isn't this app working?,5,2025-07-29,Dashen Bank,Google Play Store
network error,5,2025-07-29,Dashen Bank,Google Play Store
fast,5,2025-07-29,Dashen Bank,Google Play Store
100 good,5,2025-07-29,Dashen Bank,Google Play Store
ok,5,2025-07-29,Dashen Bank,Google Play Store
Good,5,2025-07-28,Dashen Bank,Google Play Store
It stop working most of the time.,2,2025-07-28,Dashen Bank,Google Play Store
i were smothely using the app for the last 5 month but somehow its not working to now so what shall i do it becames like i can open the app even i can't open it if u have solution's pls help me kindly tnx,1,2025-07-28,Dashen Bank,Google Play Store
wow,5,2025-07-26,Dashen Bank,Google Play Store
Best app,5,2025-07-25,Dashen Bank,Google Play Store
"Simple for usage and well designed, attractive in its visual design, ""Always One Step Ahead""",5,2025-07-24,Dashen Bank,Google Play Store
amazing product,5,2025-07-23,Dashen Bank,Google Play Store
"this app is not good and compatible with other Ethiopian bank apps, it is not fast, is stacks sometimes ,even some days it stops working at all.",1,2025-07-23,Dashen Bank,Google Play Store
ok,5,2025-07-22,Dashen Bank,Google Play Store
like it,5,2025-07-22,Dashen Bank,Google Play Store
Great always one step ahead and most reliable bank,5,2025-07-22,Dashen Bank,Google Play Store
u need to start cash out service,4,2025-07-22,Dashen Bank,Google Play Store
all in one super app,5,2025-07-21,Dashen Bank,Google Play Store
Fayla,5,2025-07-20,Dashen Bank,Google Play Store
"The app even in its' first phase is too far one step booster that enables a user to perform a seamless Banking service with multi step security features at his/her comfort zone. It really assured that Dashen Bank is living the Logo ""ALWAYS ONE STEP AHEAD""",5,2025-07-20,Dashen Bank,Google Play Store
ይሄ App ደስ ይላል ሁላችሁም አውርዱት እላለሁ🤭,5,2025-07-19,Dashen Bank,Google Play Store
"Best App .. Good job, Dashen Bank",5,2025-07-16,Dashen Bank,Google Play Store
good application,5,2025-07-15,Dashen Bank,Google Play Store
Excellent App ...,5,2025-07-15,Dashen Bank,Google Play Store
the worst app I have ever seen,1,2025-07-14,Dashen Bank,Google Play Store
very good compared to Amole!,5,2025-07-13,Dashen Bank,Google Play Store
"while it's very secure, it is very slower than other mobile banking apps. it is very lazy app!",2,2025-07-12,Dashen Bank,Google Play Store
👍😊😊😊,5,2025-07-12,Dashen Bank,Google Play Store
nice,5,2025-07-12,Dashen Bank,Google Play Store
Great application,5,2025-07-12,Dashen Bank,Google Play Store
very nice app,4,2025-07-11,Dashen Bank,Google Play Store
I am entreated app.,5,2025-07-09,Dashen Bank,Google Play Store
Cannot list the number of bugs with this pile of human waste. The absolute worst banking app I have ever used. 50 steps backwards. DO NOT RECOMMEND.,1,2025-07-02,Dashen Bank,Google Play Store
best app with best bank,5,2025-07-02,Dashen Bank,Google Play Store
alway slow loading,1,2025-06-30,Dashen Bank,Google Play Store
Best,5,2025-06-29,Dashen Bank,Google Play Store
good,5,2025-06-27,Dashen Bank,Google Play Store
"worst app ever and by any chance your account is deactivated, you are doomed",1,2025-06-27,Dashen Bank,Google Play Store
nice,5,2025-06-26,Dashen Bank,Google Play Store
Ethiopian amazing`s Dashen Bank🤝👌,3,2025-06-25,Dashen Bank,Google Play Store
"It's an unpredictable app, I can't make transactions, and now I can't even get the OTP! So it's going from bad to worse! Thank goodness the Amole Dashen app still exists.",1,2025-06-25,Dashen Bank,Google Play Store
nice app but limit up to max 600000,5,2025-06-24,Dashen Bank,Google Play Store
wow,5,2025-06-22,Dashen Bank,Google Play Store
Super,5,2025-06-21,Dashen Bank,Google Play Store
"I would be happy if I got a withdraw system in the application. Otherwise, everything is fine for me",4,2025-06-18,Dashen Bank,Google Play Store
nice app but transaction limet not enough,5,2025-06-17,Dashen Bank,Google Play Store
"It's an amazing application to use bank transactions in Ethiopia and it's so friendly btw, but need to ck that account link when we lost our mobile it's ver difficult to link up for the next one pls ck",5,2025-06-14,Dashen Bank,Google Play Store
incredible,5,2025-06-14,Dashen Bank,Google Play Store
perfect,4,2025-06-14,Dashen Bank,Google Play Store
Dashen Bank My Choice🇪🇹✌️💫,4,2025-06-13,Dashen Bank,Google Play Store
very simple and user friendly app Thank you Dashen Bank,5,2025-06-12,Dashen Bank,Google Play Store
wow,5,2025-06-12,Dashen Bank,Google Play Store
very good .,5,2025-06-09,Dashen Bank,Google Play Store
wow,5,2025-06-09,Dashen Bank,Google Play Store
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen Bank,Google Play Store
love,3,2025-06-06,Dashen Bank,Google Play Store
መቸሸጠ,5,2025-06-03,Dashen Bank,Google Play Store
wow,5,2025-06-03,Dashen Bank,Google Play Store
gadaa,5,2025-06-01,Dashen Bank,Google Play Store
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank,Google Play Store
good,4,2025-05-31,Dashen Bank,Google Play Store
very good for this app,5,2025-05-31,Dashen Bank,Google Play Store
top,5,2025-05-31,Dashen Bank,Google Play Store
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play Store
Wow,5,2025-05-30,Dashen Bank,Google Play Store
good,5,2025-05-30,Dashen Bank,Google Play Store
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play Store
it too slow,3,2025-05-29,Dashen Bank,Google Play Store
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen Bank,Google Play Store
👍👍👍,5,2025-05-28,Dashen Bank,Google Play Store
good,5,2025-05-28,Dashen Bank,Google Play Store
nice application,5,2025-05-27,Dashen Bank,Google Play Store
good,5,2025-05-27,Dashen Bank,Google Play Store
wow,5,2025-05-27,Dashen Bank,Google Play Store
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play Store
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen Bank,Google Play Store
very useful App,1,2025-05-26,Dashen Bank,Google Play Store
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play Store
Wawww,5,2025-05-24,Dashen Bank,Google Play Store
very Nice,5,2025-05-23,Dashen Bank,Google Play Store
its best,5,2025-05-23,Dashen Bank,Google Play Store
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play Store
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play Store
wow,5,2025-05-20,Dashen Bank,Google Play Store
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play Store
good,5,2025-05-20,Dashen Bank,Google Play Store
its best,5,2025-05-19,Dashen Bank,Google Play Store
The best app ever in finance sector,5,2025-05-18,Dashen Bank,Google Play Store
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play Store
dashen bank or dashen super app?,1,2025-05-17,Dashen Bank,Google Play Store
wowwwe app,5,2025-05-17,Dashen Bank,Google Play Store
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen Bank,Google Play Store
good,5,2025-05-16,Dashen Bank,Google Play Store
always lagging,1,2025-05-16,Dashen Bank,Google Play Store
Amazing Application...,5,2025-05-16,Dashen Bank,Google Play Store
Fantastic,5,2025-05-16,Dashen Bank,Google Play Store
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen Bank,Google Play Store
its my choice,5,2025-05-15,Dashen Bank,Google Play Store
wow apo,5,2025-05-15,Dashen Bank,Google Play Store
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play Store
wow,5,2025-05-14,Dashen Bank,Google Play Store
👍,5,2025-05-14,Dashen Bank,Google Play Store
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen Bank,Google Play Store
Game changer,5,2025-05-13,Dashen Bank,Google Play Store
Totally amazing,5,2025-05-13,Dashen Bank,Google Play Store
super 😎,5,2025-05-13,Dashen Bank,Google Play Store
what a helpful app!!!!,5,2025-05-13,Dashen Bank,Google Play Store
Good,4,2025-05-13,Dashen Bank,Google Play Store
nice,5,2025-05-13,Dashen Bank,Google Play Store
wow,5,2025-05-13,Dashen Bank,Google Play Store
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen Bank,Google Play Store
fast,5,2025-05-12,Dashen Bank,Google Play Store
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen Bank,Google Play Store
good,5,2025-05-09,Dashen Bank,Google Play Store
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen Bank,Google Play Store
its the best ever,5,2025-05-09,Dashen Bank,Google Play Store
nice,5,2025-05-08,Dashen Bank,Google Play Store
excellent game changer App,5,2025-05-08,Dashen Bank,Google Play Store
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen Bank,Google Play Store
